title,box_off_num
우리 이웃의 범죄,69432.96165118311
엄마는 창녀다,42964.07510716151
위험한 상견례,1295745.3484236929
간증,99663.05150511047
"사랑한다, 사랑하지 않는다",307262.3327663838
"혜화, 동",309660.4482795817
글러브,3085376.09239872
가문의 귀환,710836.2538562401
잔혹한 앵글의 로망스,56732.33166688264
나의 PS 파트너,1266049.8448121052
롤플레이,279315.43439293717
마티나,71088.75376537045
음치 클리닉,2357222.865761365
남영동1985,269825.11245951965
돈 크라이 마미,130424.59100984568
반드시 크게 들을 것 2 : Wild Days,56209.17475367078
범죄소년,275630.81204459036
내가 살인범이다,2450740.4303789395
터치,99445.9199120819
늑대소년,2545351.1087100743
맥코리아,39288.350363508514
용의자X,1414295.3008411224
하나안,218047.75050328934
투 올드 힙합 키드,81867.95427293002
한경직,93555.02868265603
미운오리새끼,159828.94513648562
황제펭귄 펭이와 솜이,55386.928098011194
두 개의 문,90056.033514098
I AM,562591.2686417911
후궁 : 제왕의 첩,2247455.037935596
"안녕, 하세요!",239652.7824523888
천국의 아이들,410778.2707714257
할머니는 일학년,93199.17371228928
두레소리,224197.8180271055
"봄, 눈",227049.2297829391
은교,973185.5506286107
간기남,1554294.0758230896
시체가 돌아왔다,1396197.6153337676
말하는 건축가,147641.17989472128
밀월도 가는 길,94448.6828442129
파파,497097.4719247368
점박이:한반도의 공룡3D,170841.76367461088
댄싱퀸,3773693.3763114316
누구의 딸도 아닌 해원,38935.018397459164
신세계,3860905.4986163415
굿바이 홈런,56173.39284138514
불륜의 시대,32398.935978184145
남쪽으로 튀어,2039000.5353310679
좋은 친구들,1802989.0798853207
지슬 - 끝나지 않은 세월 2,224197.8180271055
누구나 제 명에 죽고 싶다,55636.9028676979
사이코메트리,733944.5676898302
환상속의 그대,303048.05039507634
몽타주,1624142.9217959568
"힘내세요, 병헌씨",251570.6813646024
꼭두각시,179159.6431190906
홀리,78002.83236806933
마이 라띠마,973185.5506286107
더 테러 라이브,1072150.9393691109
슈퍼피쉬 - 끝없는 여정,43409.71200581326
콩가네,320616.57001947955
허풍,198855.65198701428
젊은 엄마,42188.498451884756
노라노,41932.08527391362
노브레싱,222884.1897881264
말하는 건축 시티:홀,428710.76566968847
댄서김의 은밀한 교수법,57399.70875707071
소원,587289.8032678884
고양이 소녀,41578.31490438791
롤플레이 2 : 동침,61053.376256895484
동창생,978846.5940087115
용의자,4769502.660729633
미녀전쟁,166587.7015498732
캐치미,706648.436929106
그 강아지 그 고양이,88894.16845997862
화려한 외출,69376.62669766732
오하이오 삿포로,32075.157183311552
마이 리틀 히어로,3331748.5100429687
박수건달,4250942.54943387
배꼽,88936.91915842428
나가요 미스콜,108340.13630775912
우아한 거짓말,1844012.1727523883
미스터 컴퍼니,53230.36284841698
우리별 일호와 얼룩소,140228.2097589112
찌라시: 위험한 소문,1830524.9383498705
조선미녀삼총사,559970.6348102108
만찬,1908457.3480768162
한 번도 안 해본 여자,106738.86643461473
살인자,152734.2517904837
  이것이 우리의 끝이다,313654.0144658737
그댄 나의 뱀파이어,9556.079044319364
황제를 위하여,1006234.289931863
레디액션! 폭력영화,139710.7179799547
스퀴시랜드,190266.19696822506
우는 남자,2478472.8413307415
하이힐,2389531.2314895047
도희야,28836.28210279913
표적,1397013.7655447568
10분,101861.89369821589
메이크 유어 무브,680946.4585781997
카토 프로젝트,42173.0691438964
녀녀녀,140457.5336052903
방황하는 칼날,2488975.8750266978
바리새인,98207.05532517741
욕망의 독: 중독,117075.59203872635
설계,106638.08466881319
레쓰링,-39205.406616174674
원 컷 - 어느 친절한 살인자의 기록,189982.20512491558
픽업 아티스트,337055.1201584335
옹녀뎐,28969.519291813293
왓니껴,676988.3534406503
족구왕,209033.6409728995
내 연애의 기억,42600.06691347487
바세코의 아이들,54696.21407714587
명량,4749077.020111595
군도: 민란의 시대,3805875.9197182925
산타바바라,53532.729517527194
나는 야한 여자가 좋다,26543.406272388394
숙희,48213.934822566145
더 테너 리리코 스핀토,605653.5148456305
기술자들,1886196.2618797396
신화 라이브 3D 더 레전드 컨티뉴스,186570.72869186132
악사들,101849.81717639275
울언니,65366.03678856441
정사: 위험한 성적유희,137800.06154084063
레디액션 청춘,3497787.391136074
"제자, 옥한흠",263233.5830318051
환상,42764.66486593443
위층여자,46900.7355524477
가자! 장미여관으로 3 - 방황,98608.4412880944
나는 야한 여자가 좋다 3,26543.406272388394
스물,2154979.2693804
그라운드의 이방인,328343.9516583366
살인의뢰,1555758.465158735
살인캠프,101913.08291165685
헬머니,618661.8380312584
조류인간,193423.20353208104
최강전사 미니특공대 : 새로운 악당의 습격,141894.11051014185
생각보다 맑은,116537.15314644025
고양이 장례식,242496.8505558135
설해,524629.1404839205
나의 절친 악당들,895911.2117061507
연평해전,2906770.1423607785
극비수사,344268.92567026
성난 화가,180953.6816794949
은밀한 유혹,915284.4749951368
혜경궁 홍씨,556063.7643131318
무뢰한,2117499.366005281
간신,5519761.36268204
연애의 맛,1158865.0367077603
잡식가족의 딜레마,168404.0305990454
플랑크 상수,60907.030577849306
장수상회,1376411.4853322343
파울볼,51534.397931223306
춘희막이,14453.055171746993
덫: 치명적인 유혹,316789.86904074723
션샤인 러브,373483.7716880638
사도,3632963.3380723945
돼지 같은 여자,62064.1838725684
사랑이 이긴다,37205.5604957045
슈퍼레이서 엔지,1277769.0299049239
제 7기사단,255652.92992335808
고백,119941.55300114257
미쓰 와이프,3508745.240142216
위로공단,105959.78538833404
베테랑,3731972.8658164837
악인은 살아 있다,227617.77751753625
쓰리 썸머 나잇,939386.3379784497
마돈나,582356.9146207958
"나의 아들, 나의 어머니",159404.85439835544
슬픈남자,118636.6994072186
타이밍,137501.083587791
타투,384181.4309282106
어떤이의 꿈,55602.242176429354
해에게서 소년에게,105664.4976247366
울보 권투부,93676.16405442395
어떤살인,398004.4197899625
말하지 못한 비밀,149756.34282995487
조선안방 스캔들-칠거지악 2,35466.188983203516
