title,box_off_num
"나의 아들, 나의 어머니",198641.52429574748
슬픈남자,111224.82618957378
타이밍,137873.87071923146
타투,530285.1991263302
어떤이의 꿈,58405.93306072656
해에게서 소년에게,116191.86269804768
울보 권투부,63732.56980861444
어떤살인,433561.4047421378
말하지 못한 비밀,105316.55897694928
조선안방 스캔들-칠거지악 2,46321.18456431919
